#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
25648552166178,-0.0073726922,-0.0934023261,-0.3616265655,0.0326121189,-0.0393954515,-0.7065187693,0.7058439851,-0.0140661858,-0.3272461593,-0.2271693945,0.8225713372,-0.5530068278,-0.1213664711,0.0531981401
25648559148270,-0.0072521530,-0.0946816504,-0.3618023992,0.0308783539,-0.0399741903,-0.7074843645,0.7049216032,-0.0152064059,-0.3288775682,-0.2266883850,0.8223308325,-0.5533043146,-0.1215442345,0.0534178838
25648565968476,-0.0080183297,-0.0946867615,-0.3619794846,0.0303977355,-0.0409402288,-0.7076135874,0.7047573328,-0.0152592938,-0.3282424212,-0.2269852161,0.8221040964,-0.5537474155,-0.1210067123,0.0535361767
25648573051529,-0.0081628356,-0.0953372568,-0.3623298407,0.0294543710,-0.0419757701,-0.7086018920,0.7037427425,-0.0160140861,-0.3286997676,-0.2266619205,0.8217723370,-0.5542739630,-0.1207588986,0.0537392683
25648579911317,-0.0081916638,-0.0957851112,-0.3626071811,0.0283052269,-0.0425265171,-0.7097944021,0.7025541663,-0.0167154651,-0.3293008506,-0.2265067101,0.8214678764,-0.5548257828,-0.1202143654,0.0539204814
25648586815165,-0.0086472351,-0.0955270976,-0.3631474376,0.0275477786,-0.0429538004,-0.7109692693,0.7013692856,-0.0168614946,-0.3285582662,-0.2266961336,0.8212565184,-0.5553112030,-0.1193769276,0.0540027246
25648593816636,-0.0091995616,-0.0952489376,-0.3634454608,0.0271136519,-0.0435576886,-0.7118785381,0.7004260421,-0.0175275020,-0.3289045691,-0.2265069485,0.8209742904,-0.5558751225,-0.1186404377,0.0541156642
25648600825026,-0.0092179663,-0.0961287320,-0.3635287881,0.0282131545,-0.0446632244,-0.7119539380,0.7002363205,-0.0179789755,-0.3291560113,-0.2266143560,0.8207242489,-0.5564131141,-0.1177968308,0.0542234592
25648607684495,-0.0099791028,-0.0956418067,-0.3637050986,0.0300632231,-0.0463766493,-0.7114883661,0.7005210519,-0.0181573015,-0.3282065392,-0.2269988060,0.8205313087,-0.5568096042,-0.1171812490,0.0544071347
25648614636174,-0.0105910897,-0.0955741554,-0.3638646603,0.0311774164,-0.0474838689,-0.7116329074,0.7002513409,-0.0187826455,-0.3287554979,-0.2268338203,0.8204593062,-0.5569370985,-0.1167945191,0.0550148785
25648621540482,-0.0103810579,-0.0956975520,-0.3637588620,0.0347158425,-0.0494093820,-0.7106605768,0.7009387612,-0.0191567689,-0.3289704919,-0.2270027399,0.8203850985,-0.5570843816,-0.1164110079,0.0554408953
25648628512643,-0.0106404368,-0.0942719132,-0.3637263775,0.0377723016,-0.0509338863,-0.7100286484,0.7013118267,-0.0193109252,-0.3280378580,-0.2275683880,0.8204225898,-0.5570580363,-0.1160823107,0.0558382683
25648635436952,-0.0105207246,-0.0943901092,-0.3635589480,0.0403657816,-0.0521533787,-0.7097355127,0.7013744712,-0.0197798554,-0.3284357190,-0.2275907993,0.8205818534,-0.5567605495,-0.1160932928,0.0564402454
25648642422082,-0.0104723033,-0.0945054889,-0.3635695577,0.0427412614,-0.0533151887,-0.7096041441,0.7012793422,-0.0202246010,-0.3287687898,-0.2278178930,0.8207994103,-0.5564011335,-0.1159963012,0.0570182689
25648649297051,-0.0103446729,-0.0930166095,-0.3635404706,0.0446415879,-0.0546594597,-0.7104547620,0.7001953125,-0.0203539412,-0.3278810382,-0.2285197973,0.8209841847,-0.5561071634,-0.1158591583,0.0575021505
25648656294730,-0.0100825392,-0.0933047831,-0.3635706902,0.0466027074,-0.0558934435,-0.7113151550,0.6990957856,-0.0203844439,-0.3273108304,-0.2292562723,0.8212241530,-0.5557580590,-0.1156249046,0.0579211637
25648664012163,-0.0098797157,-0.0936517268,-0.3636848927,0.0485065766,-0.0573220626,-0.7124085426,0.6977359653,-0.0216737222,-0.3290587664,-0.2290213108,0.8216671348,-0.5550853610,-0.1155306101,0.0582762584
25648669999367,-0.0098525658,-0.0923791379,-0.3637166023,0.0504404940,-0.0597000122,-0.7139663696,0.6958044171,-0.0222419165,-0.3283873200,-0.2297667265,0.8220378757,-0.5546501279,-0.1150199845,0.0582020991
25648677066358,-0.0096303374,-0.0928284079,-0.3637793660,0.0528038591,-0.0619352013,-0.7151904702,0.6941746473,-0.0236320980,-0.3300998807,-0.2293487787,0.8226529956,-0.5538889170,-0.1143892184,0.0580017902
25648684030108,-0.0093752481,-0.0926523358,-0.3637468219,0.0555572286,-0.0649519488,-0.7160771489,0.6927684546,-0.0241125859,-0.3298092484,-0.2301173210,0.8231633902,-0.5533561707,-0.1134868264,0.0576177090
25648690983507,-0.0089951605,-0.0920917392,-0.3635208011,0.0585592575,-0.0686693639,-0.7167711258,0.6914438009,-0.0250575896,-0.3289842010,-0.2309844494,0.8239145279,-0.5526131392,-0.1121630296,0.0565967783
25648697844716,-0.0092823580,-0.0920615792,-0.3635052443,0.0616998449,-0.0726034269,-0.7174354792,0.6900784373,-0.0263576470,-0.3298311532,-0.2311723232,0.8246430755,-0.5518496633,-0.1109484583,0.0558236986
25648704891847,-0.0091144592,-0.0916524231,-0.3634865284,0.0650372505,-0.0772046000,-0.7178687453,0.6888208389,-0.0277590901,-0.3303509057,-0.2315316200,0.8255541325,-0.5509950519,-0.1090541258,0.0545162372
25648711894387,-0.0093173012,-0.0903861523,-0.3636990786,0.0687100664,-0.0824766606,-0.7184851170,0.6872087121,-0.0290609188,-0.3294004798,-0.2325403690,0.8264532685,-0.5502094626,-0.1069255769,0.0530245975
25648718739686,-0.0085795000,-0.0900453925,-0.3638216257,0.0726853609,-0.0876046345,-0.7192674279,0.6853441596,-0.0308379233,-0.3296796978,-0.2330025434,0.8274270296,-0.5493496060,-0.1045925692,0.0513810143
25648726059640,-0.0091120191,-0.0896711946,-0.3641257286,0.0765551925,-0.0925124735,-0.7200096846,0.6834960580,-0.0324221477,-0.3304172158,-0.2335535288,0.8283563256,-0.5485761166,-0.1020876169,0.0496820919
25648732684464,-0.0090236142,-0.0881831944,-0.3646191359,0.0809306726,-0.0973531827,-0.7207441926,0.6815427542,-0.0339457914,-0.3294375241,-0.2347301245,0.8293381929,-0.5478211045,-0.0991565064,0.0475203544
25648739576874,-0.0085918009,-0.0888965577,-0.3647757769,0.0854319409,-0.1017101184,-0.7213940024,0.6796669960,-0.0358842611,-0.3293932080,-0.2353342772,0.8303748369,-0.5469373465,-0.0962782204,0.0454725362
25648746487822,-0.0083468780,-0.0873551667,-0.3652197123,0.0900614113,-0.1056863740,-0.7217884660,0.6780418754,-0.0374869853,-0.3299213648,-0.2360711098,0.8313506842,-0.5461685061,-0.0931650549,0.0433156453
