#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
59157383268334,0.0089435056,-0.1503036022,-0.4349695742,-0.3653493822,0.1479678005,0.4538612962,-0.7991465926,-0.0878457949,-0.2792216539,-0.3435575664,0.9107069373,-0.4032101631,-0.0892627835,0.0081547787
59157390466124,0.0093707144,-0.1501439810,-0.4346740842,-0.3647052348,0.1485502571,0.4549541175,-0.7987112999,-0.0876668394,-0.2788602114,-0.3431037068,0.9109520912,-0.4026975632,-0.0891245008,0.0076125194
59157397401529,0.0087632835,-0.1500173807,-0.4343645573,-0.3645530045,0.1491899043,0.4552413225,-0.7984979153,-0.0879328549,-0.2787061930,-0.3434031606,0.9112254381,-0.4020717740,-0.0891891047,0.0071971868
59157404302526,0.0092843920,-0.1496666670,-0.4344686270,-0.3634720445,0.1497890204,0.4569097757,-0.7979253531,-0.0878292769,-0.2782205343,-0.3431725502,0.9113646746,-0.4017179012,-0.0893849656,0.0068894909
59157411545396,0.0096698478,-0.1493287086,-0.4345388710,-0.3622869551,0.1504031122,0.4585291445,-0.7974196672,-0.0877843425,-0.2776989937,-0.3429981172,0.9114687443,-0.4013985991,-0.0897754356,0.0066591632
59157418250660,0.0092588291,-0.1490275860,-0.4345575571,-0.3611542583,0.1511549056,0.4601280093,-0.7968701124,-0.0879248157,-0.2774199247,-0.3434318900,0.9115877151,-0.4010049999,-0.0903234854,0.0066722524
59157425249386,0.0095819980,-0.1485515833,-0.4346301258,-0.3601797819,0.1515868604,0.4615492225,-0.7964071631,-0.0877936929,-0.2768863440,-0.3433729708,0.9116681218,-0.4006970823,-0.0908817202,0.0066089877
59157432134371,0.0099754855,-0.1479930878,-0.4347107708,-0.3591666222,0.1520120054,0.4629461765,-0.7959727049,-0.0877574161,-0.2763029337,-0.3432817161,0.9117669463,-0.4003333449,-0.0914907455,0.0066115856
59157440124974,0.0094801337,-0.1475772858,-0.4346869886,-0.3585662544,0.1522976309,0.4639696181,-0.7955928445,-0.0880550593,-0.2758786678,-0.3440588415,0.9117375016,-0.4002569616,-0.0921008661,0.0068275081
59157445786780,0.0098395720,-0.1470527649,-0.4346430302,-0.3580756783,0.1525141746,0.4650943279,-0.7951154709,-0.0878058895,-0.2753783464,-0.3439999223,0.9118422270,-0.3999232352,-0.0925180018,0.0067548710
59157452870879,0.0100863799,-0.1463502645,-0.4349013567,-0.3575810194,0.1526134014,0.4661952853,-0.7946740985,-0.0879834071,-0.2747721672,-0.3444626927,0.9119275212,-0.3996189535,-0.0929867998,0.0068103164
59157459763215,0.0095731243,-0.1458227634,-0.4350234270,-0.3576110899,0.1524922401,0.4670619667,-0.7941747308,-0.0880043283,-0.2742767334,-0.3449216485,0.9120332599,-0.3993310630,-0.0931882858,0.0067829248
