#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
27997839847092,-0.0053113699,-0.0359004736,-0.3990211487,0.0186255071,0.0320571698,-0.7479229569,0.6627493501,0.0203372836,-0.2851583064,-0.2582480907,0.8345251083,-0.5342133641,-0.0954183713,0.0952851251
27997846781142,-0.0049304068,-0.0371508002,-0.3990973234,0.0172325149,0.0321838669,-0.7495926619,0.6608918905,0.0201549530,-0.2860598266,-0.2573717833,0.8344541192,-0.5341901183,-0.0964250639,0.0950239599
27997854411474,-0.0051732063,-0.0357564837,-0.4000467062,0.0171964467,0.0324699283,-0.7496262789,0.6608408093,0.0201374292,-0.2857205272,-0.2576388121,0.8342974186,-0.5344175100,-0.0967499912,0.0947903544
27997860821136,-0.0046262145,-0.0374612957,-0.4001568556,0.0162627865,0.0341819599,-0.7508022785,0.6594415307,0.0202390254,-0.2863015831,-0.2572140694,0.8341684341,-0.5346002579,-0.0968208686,0.0948231891
27997867723466,-0.0041784644,-0.0386191085,-0.4003720284,0.0151860621,0.0351589844,-0.7521141171,0.6579192281,0.0203967988,-0.2860778570,-0.2573713064,0.8340561390,-0.5347505808,-0.0971045494,0.0946722105
27997875020334,-0.0045387149,-0.0373114273,-0.4009120464,0.0146803930,0.0351703055,-0.7522023916,0.6578291059,0.0204114020,-0.2857104838,-0.2576839924,0.8339682221,-0.5348587036,-0.0973932818,0.0945398435
27997881607418,-0.0045551956,-0.0378163829,-0.4009938240,0.0143761253,0.0355174243,-0.7520685196,0.6579701900,0.0205361545,-0.2853952646,-0.2579104900,0.8337744474,-0.5351048708,-0.0976627171,0.0945776179
27997888625491,-0.0044678450,-0.0391123854,-0.4006841183,0.0146489367,0.0350191444,-0.7518366575,0.6582558751,0.0203898847,-0.2861286998,-0.2572602034,0.8335351944,-0.5352822542,-0.0986621305,0.0946451575
27997895518180,-0.0047514141,-0.0371150076,-0.4013198614,0.0146263866,0.0344660953,-0.7511300445,0.6590916514,0.0204609632,-0.2858123481,-0.2575678825,0.8334020972,-0.5354024172,-0.0988188982,0.0949745104
27997902524692,-0.0044317544,-0.0397382677,-0.4011278152,0.0140472520,0.0343381055,-0.7509657145,0.6592982411,0.0206074119,-0.2859295905,-0.2575379610,0.8332309723,-0.5355532765,-0.0989395231,0.0954976752
27997909453053,-0.0045496225,-0.0379638523,-0.4016513824,0.0137156136,0.0344574936,-0.7507882714,0.6595009565,0.0207913518,-0.2860880196,-0.2575407028,0.8331181407,-0.5356380343,-0.0988500044,0.0960982516
27997917210096,-0.0047161281,-0.0359299518,-0.4023497105,0.0132141672,0.0347083993,-0.7507244945,0.6595706940,0.0208120942,-0.2862066329,-0.2576013803,0.8328901529,-0.5358985066,-0.0988092497,0.0966624618
27997923248174,-0.0044988394,-0.0406557918,-0.4014331102,0.0120469099,0.0351452902,-0.7508828044,0.6593897343,0.0209468305,-0.2862968147,-0.2576941252,0.8327010870,-0.5360919833,-0.0987658724,0.0972607136
27997930221534,-0.0046789348,-0.0389451869,-0.4018857479,0.0114087807,0.0349957906,-0.7508774996,0.6594150066,0.0211154819,-0.2860264480,-0.2579503059,0.8325770497,-0.5361930132,-0.0988143682,0.0977150276
27997937162255,-0.0050109327,-0.0368473418,-0.4025692940,0.0107378410,0.0348392203,-0.7510169148,0.6592758894,0.0211173892,-0.2856148481,-0.2583923340,0.8324816823,-0.5362671614,-0.0988055021,0.0981289670
27997944130476,-0.0046526492,-0.0413058624,-0.4014521837,0.0097204847,0.0346386693,-0.7513306737,0.6589446068,0.0212999284,-0.2861850560,-0.2580652237,0.8324456215,-0.5362927914,-0.0987296179,0.0983706117
27997951140358,-0.0048340261,-0.0396169163,-0.4018044472,0.0094716968,0.0346737020,-0.7510936856,0.6592164040,0.0214495957,-0.2858964205,-0.2583856583,0.8324065804,-0.5363013148,-0.0987338871,0.0986499041
27997958687229,-0.0052511990,-0.0376504213,-0.4023098946,0.0096123619,0.0346726812,-0.7505133748,0.6598751545,0.0213399529,-0.2860367298,-0.2583973408,0.8324928284,-0.5361317396,-0.0987469777,0.0988311097
27997964895708,-0.0048082769,-0.0406167880,-0.4016764164,0.0106935119,0.0345496610,-0.7499917150,0.6604577899,0.0214587450,-0.2862063944,-0.2584086657,0.8325200677,-0.5360698700,-0.0986269563,0.0990565568
27997971913081,-0.0050838590,-0.0388502702,-0.4021056890,0.0109574106,0.0347254202,-0.7495794296,0.6609120965,0.0214391649,-0.2858813405,-0.2587192059,0.8326227069,-0.5358997583,-0.0985601768,0.0991812646
27997978835090,-0.0053601861,-0.0369572416,-0.4025936127,0.0112566100,0.0350724310,-0.7494394779,0.6610474586,0.0213918686,-0.2860209942,-0.2587007284,0.8327378631,-0.5357356071,-0.0984213278,0.0992386639
27997985883333,-0.0050470531,-0.0412031077,-0.4019418955,0.0118203843,0.0356996097,-0.7495166659,0.6609165072,0.0214223564,-0.2862038314,-0.2586833239,0.8328986764,-0.5355342627,-0.0982868448,0.0991092622
27997992745723,-0.0054818094,-0.0395245254,-0.4023795128,0.0122430678,0.0360315368,-0.7494549751,0.6609607935,0.0212297440,-0.2858305275,-0.2589972019,0.8330423236,-0.5353383422,-0.0982598737,0.0989869535
27997999681393,-0.0057859421,-0.0376764387,-0.4026726484,0.0127013633,0.0362340547,-0.7494961023,0.6608943939,0.0210508704,-0.2859965563,-0.2587381601,0.8333085179,-0.5349264145,-0.0985542536,0.0986798406
27998006676465,-0.0058092773,-0.0401352346,-0.4023128748,0.0128589915,0.0356820151,-0.7492287755,0.6612244248,0.0209810734,-0.2860269547,-0.2587438822,0.8335118890,-0.5346744061,-0.0983951986,0.0984867513
27998013737837,-0.0064547062,-0.0378622562,-0.4026553631,0.0129134292,0.0358356684,-0.7494353652,0.6609809399,0.0206691921,-0.2854728103,-0.2591496706,0.8336969614,-0.5344068408,-0.0983844176,0.0983825997
27998020504226,-0.0063682497,-0.0411184132,-0.4020357132,0.0133052384,0.0356888063,-0.7496398091,0.6607491970,0.0206228495,-0.2855932117,-0.2591217756,0.8338678479,-0.5341789126,-0.0980988815,0.0984584913
27998027678550,-0.0067148507,-0.0391891189,-0.4023835659,0.0134656187,0.0357611068,-0.7498764992,0.6604734063,0.0205876231,-0.2854898572,-0.2592358589,0.8340386152,-0.5339352489,-0.0977865458,0.0986433998
27998034496729,-0.0074639618,-0.0370091386,-0.4028303623,0.0134419659,0.0358728878,-0.7500217557,0.6603027582,0.0202243328,-0.2848834693,-0.2597640753,0.8342217803,-0.5336214304,-0.0978188217,0.0987612903
27998041418410,-0.0078758299,-0.0348717235,-0.4031891823,0.0136441588,0.0359028131,-0.7502021194,0.6600921750,0.0201751888,-0.2848317921,-0.2598500252,0.8344236612,-0.5333105326,-0.0975474715,0.0990028754
27998048473222,-0.0074956119,-0.0382163785,-0.4024626017,0.0148047954,0.0362206511,-0.7503026724,0.6599355340,0.0201362669,-0.2847625613,-0.2599978447,0.8345488906,-0.5331025124,-0.0972344428,0.0993748531
27998055350233,-0.0083188415,-0.0360264741,-0.4028824568,0.0151217142,0.0364513472,-0.7502403855,0.6599863768,0.0197223127,-0.2840968966,-0.2604882717,0.8346819878,-0.5328319669,-0.0971255749,0.0998130664
27998062229012,-0.0081392229,-0.0390599109,-0.4021285772,0.0152409766,0.0369624197,-0.7503050566,0.6598817110,0.0196351409,-0.2844921649,-0.2602858543,0.8346825838,-0.5327657461,-0.0968100056,0.1004662439
27998069388017,-0.0084773600,-0.0371751226,-0.4024151564,0.0158570446,0.0372348577,-0.7501720786,0.6600029469,0.0196248889,-0.2840213776,-0.2606242895,0.8347747922,-0.5325837731,-0.0965611860,0.1009035632
27998076109694,-0.0093012452,-0.0348605774,-0.4027076960,0.0164125673,0.0378159843,-0.7499599457,0.6601974964,0.0192217827,-0.2833815217,-0.2609989643,0.8348356485,-0.5323790908,-0.0965229273,0.1015147194
27998083040974,-0.0090468228,-0.0376349054,-0.4022397995,0.0172045324,0.0387997329,-0.7494753003,0.6606704593,0.0192286074,-0.2838734388,-0.2607743740,0.8347856998,-0.5324065685,-0.0962176323,0.1020702571
27998090085806,-0.0093171000,-0.0356982090,-0.4023959637,0.0176965725,0.0393691510,-0.7494090796,0.6606988907,0.0192515552,-0.2834731638,-0.2610436678,0.8348015547,-0.5323323607,-0.0960469693,0.1024871469
27998096909015,-0.0100899935,-0.0335807279,-0.4027872086,0.0178788472,0.0399555452,-0.7493605018,0.6607138515,0.0188325047,-0.2829242051,-0.2614505291,0.8347848058,-0.5322614908,-0.0961043090,0.1029371545
27998103925057,-0.0096579492,-0.0367189273,-0.4020845890,0.0183088873,0.0404289402,-0.7490773797,0.6609942913,0.0188163817,-0.2834194899,-0.2610635757,0.8348153234,-0.5321816802,-0.0959001407,0.1032924280
27998110923449,-0.0101696551,-0.0348100252,-0.4023568630,0.0183697343,0.0405855104,-0.7492094040,0.6608334184,0.0186094940,-0.2829513848,-0.2614274025,0.8348599076,-0.5320683718,-0.0958735719,0.1035390049
27998117962001,-0.0104049444,-0.0351699516,-0.4020978212,0.0184024516,0.0405721702,-0.7490345240,0.6610313654,0.0183800757,-0.2824608386,-0.2617673874,0.8349457383,-0.5319164991,-0.0958681032,0.1036328897
27998124767800,-0.0103487670,-0.0354925133,-0.4020829201,0.0186130535,0.0402660817,-0.7490338087,0.6610451341,0.0183672905,-0.2825323641,-0.2617442608,0.8350843191,-0.5317246318,-0.0957854614,0.1035770327
27998132102777,-0.0109260380,-0.0332590267,-0.4024330378,0.0190969240,0.0399779417,-0.7490471601,0.6610335708,0.0180839598,-0.2824614346,-0.2617925406,0.8352819681,-0.5314511657,-0.0957278460,0.1034405977
27998138582550,-0.0112529695,-0.0338913649,-0.4022256136,0.0196238030,0.0400057510,-0.7489321232,0.6611468196,0.0178239942,-0.2819874585,-0.2622356415,0.8354298472,-0.5312539935,-0.0956355855,0.1033446044
27998145535402,-0.0112566054,-0.0342611894,-0.4021896124,0.0205155052,0.0395940728,-0.7489964962,0.6610716581,0.0178671479,-0.2825422883,-0.2618418932,0.8356044292,-0.5310428739,-0.0952761099,0.1033493355
27998152808937,-0.0120415986,-0.0320932642,-0.4024266005,0.0215853378,0.0400158986,-0.7490308285,0.6609733105,0.0173377395,-0.2820433676,-0.2621529102,0.8358439207,-0.5306831598,-0.0950543657,0.1034649163
27998159673588,-0.0118853450,-0.0329374261,-0.4020876884,0.0228843614,0.0406010747,-0.7489900589,0.6609401703,0.0173256099,-0.2825884819,-0.2616593838,0.8360319138,-0.5304003954,-0.0948048458,0.1036253795
27998166271442,-0.0117950737,-0.0330050327,-0.4020031691,0.0241069514,0.0410790183,-0.7488057613,0.6610758901,0.0173240006,-0.2823452353,-0.2619738579,0.8361726999,-0.5302215219,-0.0946712568,0.1035262793
27998173362306,-0.0124585629,-0.0310247801,-0.4021569490,0.0252083130,0.0417313315,-0.7486285567,0.6611946225,0.0168977678,-0.2818851173,-0.2621167898,0.8363372087,-0.5299622416,-0.0945718810,0.1036155075
27998180274846,-0.0125156939,-0.0319099799,-0.4015847445,0.0262213927,0.0422126986,-0.7482644320,0.6615367532,0.0168780982,-0.2819894850,-0.2619963884,0.8364397287,-0.5298341513,-0.0945572704,0.1034572273
27998187182306,-0.0123612285,-0.0331651010,-0.4011688232,0.0274353120,0.0421582609,-0.7482342124,0.6615252495,0.0169486403,-0.2821263671,-0.2619512081,0.8365449309,-0.5297176242,-0.0945431292,0.1032154486
