#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
28555255649077,0.0311330855,-0.0806065202,-0.5557743311,-0.9381117821,-0.1381989866,0.2692723572,-0.1683442295,-0.0623967350,-0.1907658577,-0.3337504268,0.7646144032,-0.4708806574,0.2828790545,-0.3370693624
28555262351305,0.0301284492,-0.0812758207,-0.5552037954,-0.9357739091,-0.1314056665,0.2741690576,-0.1785807759,-0.0631723702,-0.1914425790,-0.3334776163,0.7644089460,-0.4719290435,0.2818762660,-0.3369091451
28555269263936,0.0292872190,-0.0826610923,-0.5554325581,-0.9331577420,-0.1253699809,0.2783155143,-0.1898407787,-0.0639190376,-0.1921378970,-0.3332105279,0.7642272711,-0.4733053148,0.2805695832,-0.3364808261
28555276463253,0.0279031396,-0.0831424296,-0.5549262166,-0.9298854470,-0.1197646484,0.2822144032,-0.2032846063,-0.0648345351,-0.1930647492,-0.3324631453,0.7642079592,-0.4748597741,0.2789555788,-0.3356755078
28555283237473,0.0265375078,-0.0834826529,-0.5544160008,-0.9252854586,-0.1133592725,0.2878742814,-0.2193739414,-0.0655583441,-0.1939074397,-0.3321485519,0.7643897533,-0.4767790139,0.2765999734,-0.3344884217
28555290436539,0.0249607861,-0.0834853053,-0.5536329746,-0.9201974273,-0.1078059301,0.2925927937,-0.2366516441,-0.0662379563,-0.1947273314,-0.3318753242,0.7646178007,-0.4790463746,0.2738426030,-0.3329930305
28555297144338,0.0245257616,-0.0854259729,-0.5540868044,-0.9145422578,-0.1021789983,0.2975821197,-0.2541984916,-0.0669645965,-0.1954188943,-0.3309490085,0.7650439143,-0.4814009666,0.2705532014,-0.3313031495
28555304394576,0.0229261220,-0.0850884318,-0.5532487631,-0.9078264832,-0.0968783796,0.3023464680,-0.2739568353,-0.0676159561,-0.1962601542,-0.3308163285,0.7657943368,-0.4842362106,0.2664767504,-0.3287315667
28555311496020,0.0233814120,-0.0874469876,-0.5531724691,-0.9003741145,-0.0916979462,0.3069279790,-0.2944712341,-0.0680459738,-0.1970563531,-0.3306717277,0.7666279078,-0.4873481691,0.2619842887,-0.3257876933
28555317863954,0.0216741264,-0.0865498781,-0.5523272753,-0.8923777342,-0.0867640898,0.3111290336,-0.3151709735,-0.0685280859,-0.1974111199,-0.3297389746,0.7676557302,-0.4904637337,0.2570462823,-0.3226102293
28555324898848,0.0202955008,-0.0859844983,-0.5512461066,-0.8828756809,-0.0817875639,0.3150396347,-0.3385135829,-0.0690144300,-0.1981561780,-0.3297551274,0.7690513730,-0.4939198494,0.2513051033,-0.3185104132
28555331945062,0.0186408758,-0.0850678384,-0.5500328541,-0.8733402491,-0.0775889605,0.3179326952,-0.3607986271,-0.0699987710,-0.2003016770,-0.3301802278,0.7707433105,-0.4978749156,0.2450879812,-0.3130612075
28555339278740,0.0195392966,-0.0869226754,-0.5496082902,-0.8629475236,-0.0735673904,0.3211961687,-0.3830697536,-0.0701348484,-0.2001417875,-0.3295854926,0.7724233866,-0.5013960004,0.2388007194,-0.3081207275
28555345687795,0.0176844001,-0.0857606828,-0.5485239625,-0.8518714905,-0.0701412112,0.3239686191,-0.4055114985,-0.0704499483,-0.2001630366,-0.3288642168,0.7741951942,-0.5051210523,0.2323845029,-0.3024431467
28555352616147,0.0155276656,-0.0844536722,-0.5473985672,-0.8407574892,-0.0669823512,0.3265666664,-0.4266081452,-0.0715378523,-0.2025252879,-0.3295917511,0.7762310505,-0.5088663697,0.2257529646,-0.2958987653
28555359727062,0.0167062283,-0.0860022604,-0.5466449857,-0.8283985853,-0.0633414537,0.3295195699,-0.4485092461,-0.0720330477,-0.2021743059,-0.3290722966,0.7782129049,-0.5124761462,0.2187506258,-0.2896565795
28555366584193,0.0148068070,-0.0849049389,-0.5454954505,-0.8153422475,-0.0596631356,0.3322638869,-0.4703808129,-0.0727515817,-0.2033207715,-0.3291943669,0.7802935839,-0.5159638524,0.2115638852,-0.2831326723
28555374652104,0.0093981624,-0.0813721418,-0.5442835093,-0.8016609550,-0.0558924563,0.3349162042,-0.4919827580,-0.0731642544,-0.2051725984,-0.3287472725,0.7823128104,-0.5193822980,0.2042633444,-0.2765955627
